Country,Number of firms,Sum of Market Cap (in US $),Sum of Total Debt incl leases (in US $),Sum of Firm Value (in US $),Sum of Cash,Sum of Enterprise Value (in US $),Average of Current PE,Average of Trailing PE,Average of Forward PE,Average of PEG,Average of PBV,Average of PS,Average of Cash/ Firm Value,Average of EV/EBIT,Average of EV/EBITDA,Average of EV/Invested Capital,Average of EV/Sales,Average of Payout ratio,Average of Dividend Yield,Average of Historical growth in Net Income - Last 5 years,Average of Historical growth in Revenues - Last 5 years,Average of Expected growth rate in EPS- Next 5 years,Average of Expected growth in revenues - Next 2 years,Average of Return on Equity,Average of Return on Capital (ROC or ROIC),Average of Net Profit Margin,Average of Pre-tax Operating Margin,Average of Effective Tax Rate,Average of % held by institutions,Aggregate PE,Aggregate PBV,Aggregate EV/EBITDA,Aggregate EV/Invested Capital,Aggregate EV/Sales,Aggregate ROE,Aggregate ROC,Aggregate Net Margin,Aggregate Operating Margin,Aggregate Payout ratio,Aggregate Dividend Yield
Anguilla,2,22.832,0.503171412,23.33517141,0.171,23.16417141,,,,,420.3703704,202.6785714,0.077098768,,,1401.372497,202.3408162,,0,,-0.221,,,-1.824858757,-6.420464605,-9.877675841,-8.190930527,0,,,16.33190272,,75.16651613,70.83844468,-2.416309013,,-10.33027523,-8.496740924,,0
Argenti,68,61583.666,35940.86691,97524.53291,7514.184,90010.34891,31.79118087,22.63481412,30.10121758,1.133640652,7.816934231,3.209263097,0.04730223,131.4801896,16.63845656,16.09924346,3.730706245,0.245112713,0.010695803,0.321668421,0.386288387,0.322605882,0.466823529,-0.066317724,0.076191359,0.414752466,-0.020583522,0.207291338,0.126384561,19.45547684,2.286837287,10.7284519,2.151453032,1.850843769,0.008819024,0.082608236,0.004883466,0.088720125,3.71929699,0.014343203
Australia,1531,1199318.071,1201020.738,2400338.809,155533.431,2244805.378,94.78155827,95.26867078,24.07830975,3.303697229,8.325801614,641.1381311,0.156280387,704.7606245,150.2757089,32.78933777,606.6443765,0.895534665,0.011513653,0.090769432,0.050763206,0.178747938,1.31981902,-1.074181169,-5.738862273,-95.54854913,-82.57378745,0.078806402,0.169214098,47.95869588,1.934488126,23.88877632,1.455712351,3.600663457,0.039091242,0.02840063,0.038873318,0.071815122,1.9701867,0.039812622
Austria,71,102221.754,115854.555,218076.309,23387.935,194688.374,24.54855054,19.08523125,43.88967124,2.407208509,1.568979971,1.676776372,0.098899992,671.4851233,143.528965,3.180719941,2.88760188,0.512581554,0.024935485,0.061042955,0.030075172,0.098068966,0.041819048,0.087633617,0.068583751,0.106876312,0.078179847,0.198043764,0.2063775,22.07260254,1.108551894,10.78850709,1.031027902,1.444229541,0.056558644,0.043389858,0.038688554,0.062488302,0.541186693,0.027611504
Azerbaijan,1,33.4,44,77.4,3.26,74.14,,,17.41176471,,0.422250316,0.42765685,0.042118863,24.71333333,3.051028807,0.618658211,0.949295775,,0,,-0.0166,,,-0.043341404,0.022844959,-0.047354497,0.03968254,0,0.4608,,0.404358354,4.05136612,0.564575084,0.980687831,-0.043341404,0.025033378,-0.047354497,0.03968254,,0
Bahamas,5,760.023,462.3661633,1222.389163,178.812,1043.577163,10.53780069,8.686968839,,,5.86403416,15.69384278,0.069757046,5.642857143,7.209082479,10.13592336,15.85990643,0.001175637,2.70667E-05,0.0107,-0.0202,,,-0.403090848,-0.233610096,-53.59755755,-51.40589422,0.029881423,0.092633333,,0.987012093,7.584136359,1.095040608,1.887051396,-0.069657569,0.052355293,-0.096991067,0.128269443,,0.000109207
Bahrain,22,17174.9,16593.38791,33768.28791,10521.22,23247.06791,13.25311286,14.46826633,19.20689655,,0.929640325,5.624763522,0.348524438,584.9222684,424.2513641,1.00823959,7.361357151,0.422585008,0.033666126,0.040607333,0.079297,-0.076,-0.0733,0.068618897,0.038162494,-0.017634927,0.062919709,0.034188284,0.154832,10.73471505,0.884041858,25.75310229,0.966294674,2.948653711,0.078526022,0.011770053,0.19350428,0.042135604,0.481030362,0.042728068
Bangladesh,293,35299.364,11412.49711,46711.86111,8694.325,38017.53611,25.57607332,40.8219333,16.45899733,1.939934037,3.143376487,8.927577069,0.218886192,22.52807663,38.95368604,2.106242598,12.42068491,0.606464444,0.018998082,0.035505769,0.064350965,0.2564,0.11805,0.572139177,0.477412591,0.11381429,0.103633596,0.196514628,0.0944847,13.51000658,2.170086182,12.61524722,2.09779121,2.427639497,0.166267253,0.119413124,0.172701794,0.161396662,0.386538217,0.029615712
Barbados,3,2429.5,756.1935937,3185.693594,1854.8,1330.893594,14.17071149,9.98579772,7.537313433,,0.876069853,1.890063705,0.386233828,40.28047241,25.43918862,0.659339042,1.415224759,0.388383223,0.039101716,0.5975,0.0014,,-0.00594,0.132652196,0.166241065,0.157347418,0.193293486,0.17700976,0.4593,13.52803608,1.277541147,5.26669408,1.50096223,0.783339373,0.113061997,0.297484972,0.126550912,0.175495751,0.357378727,0.031627907
Belgium,144,416566.084,540572.652,957138.736,47446.659,909692.077,67.01203246,74.22525281,18.52765595,5.01744719,2.16757223,883.6852439,0.073868523,1315.770607,297.7712967,2.729241412,733.0631369,0.439786841,0.017867682,0.04492961,0.075950381,0.102225833,0.760116875,0.063953211,-0.234155612,-7.866467617,-6.329406918,0.131009603,0.171637951,18.74289897,2.189192237,24.58523113,1.522481899,4.665142408,0.077068579,0.038536485,0.075205197,0.13093607,0.977644605,0.034417115
Belize,1,7.99,0,7.99,171.2,-163.21,13.31666667,,,,0.142678571,0.327459016,21.42678348,,,,,,0,,,,,-0.05451448,,-0.14159292,0,0,0.0435,,0.136115843,,,,-0.05451448,,-0.14159292,0,,0
Benin,1,268.7,15.8,284.5,20.9,263.6,12.85645933,12.85645933,,,2.481071099,2.044901065,0.073462214,,,2.554263566,2.00608828,0,0,0.137,0.311,,,0.184955752,0,0.159056317,0,0.062162162,,12.85645933,2.377876106,,2.855904659,2.00608828,0.184955752,0,0.159056317,0,0,0
Bermuda,89,219556.175,161460.1432,381016.3182,45923.146,335093.1722,12.79171592,12.88527459,26.98194844,4.768188116,1.122609867,3.394687498,0.153271696,17.81883931,71.96129518,2.80475591,5.458982719,0.412895626,0.027271193,0.142120313,0.047382,0.001952778,0.024745455,-0.012236681,0.629720822,-0.283357691,0.104272685,0.052856175,0.439406914,16.70747536,1.105625253,10.92947871,1.053778825,1.937526659,0.075686211,0.059927924,0.086903363,0.142383289,0.31480706,0.021550298
Botswa,13,3204.6,633.52494,3838.12494,692.959,3145.16594,21.65336411,20.74192958,10.19301471,1.214285714,2.277976804,2.45759775,0.149763688,147.4183704,81.20988212,56.89514841,2.436133687,0.618696767,0.038112542,0.03115,0.091898571,0.06,0.07395,0.204237536,3.627625367,0.134089517,0.157547622,0.204584424,0.316419091,15.33550913,2.277935741,19.52549007,2.802124431,1.546143909,0.158768837,0.087057763,0.109800413,0.060261927,0.64079765,0.044662672
Brazil,181,405682.124,436656.5214,842338.6454,51114.314,791224.3314,66.39938074,54.28043444,24.86389629,4.035524982,2.457207205,10.3532828,0.102816284,19.82430911,18.47917712,2.428303066,15.65282785,0.725637209,0.022802823,-0.010315,0.065289733,0.157798718,0.040815,0.024889881,0.141806297,0.831614596,-2.673896255,0.14141995,0.300672765,118.9310811,2.252229271,19.57543376,1.712726615,2.545918432,0.044838054,0.061199003,0.025987522,0.111892732,1.45086644,0.028884283
British Virgin Islands,24,1488.823,1155.563037,2644.386037,611.848,2032.538037,23.89176703,9.1876706,24.61229947,,0.854939383,215.6890764,0.208716635,11.62378731,11.25202468,1.135229997,197.9879945,0.091449814,0.00354018,0.167,0.1172,,0.0065,-0.304440783,-0.212713768,-11.11161904,-13.21170939,0.089038056,0.193225263,-30.80344692,0.589712979,24.70419978,0.713828204,4.496417395,0.012981169,0.017782309,0.072501023,0.119039881,1.12592683,0.024784679
Bulgaria,112,4392.893,1531.136787,5924.029787,2163.71,3760.319787,203.5746725,71.64829605,16.4504924,,1.483978185,17.06973507,0.129624182,34.19221283,12.95645813,1.772341902,18.6394768,0.513458473,0.005877459,0.059223529,-0.019464242,,0.122816667,-0.030365101,0.008673451,-0.300689466,-0.02148259,0.044635536,0.091239884,30.74985125,1.109162644,10.8915221,1.03072562,0.582816947,0.059978301,0.038944814,0.036817724,0.021031864,0.225033362,0.012168746
Burki Faso,2,891.6,2.66,894.26,20.7,873.56,13.78727435,12.85554802,15.37096774,,2.957524272,1.76650234,0.04201169,8.911966988,,3.50621504,1.736664431,0,0,0.315,0.746,,,0.244200244,0,0.126017246,0.141055491,0.235372727,0.00007,14.35748792,10.88644689,7.716961131,13.06746447,1.559928571,0.829059829,1.129583592,0.12125,0.129821429,0,0
Cambodia,1,1421.3,18.51101988,1439.81102,135.3,1304.51102,8.234646582,7.222052846,8.14084507,,1.644452158,2.821719277,0.093970666,6.565632344,5.290202441,1.745139517,2.589857097,0.526422764,0.072891015,0.233,0.222,,0.142,0.290222681,0.38723338,0.370830978,0.374388159,0.035441176,0.1972,8.234646582,2.096003539,5.862970876,2.635849612,2.458095007,0.290222681,0.265799153,0.370830978,0.374388159,0.526422764,0.072891015
Cameroon,1,691.3,0.133393718,691.4333937,0,691.4333937,26.58846154,26.58846154,,,,1.138692143,0,11.84705357,6.48685049,5183.402967,1.138911866,1.342307692,0.050484594,,,,,,218.7633801,0.042826552,0.096134609,0.5,0.00056,26.58846154,,6.492332335,5183.402967,1.138911866,,437.5267601,0.042826552,0.096134609,1.342307692,0.050484594
Cada,2769,1891093.512,1571582.765,3462676.277,181061.794,3281614.483,114.8846425,80.82780672,37.95685204,20.2276814,8.08963419,114.4475621,0.135955716,145.7922165,134.5561772,21.60773685,118.508696,0.758546715,0.005259948,0.104873059,0.087207188,0.099486828,0.314177387,-1.425646421,-2.323879984,-10.93411454,-9.494871055,0.036545908,0.17002185,237.2087061,1.965674425,18.81472591,1.543020049,2.876782053,0.029124693,0.030380612,0.024563043,0.062472,1.627185503,0.024109424
Cayman Islands,47,19530.606,8994.387866,28524.99387,3777.18,24747.81387,16.8466399,15.25390251,13.79263272,1.608285284,2.811107725,3.398093043,0.191781951,14.27486557,9.886646261,2.917359655,3.644611152,0.376328127,0.017376874,0.151053846,0.031898636,0.216333333,0.157646154,0.031171777,0.084757608,-0.273618407,-0.159090959,0.115010132,0.211294839,,2.465335343,19.51181761,2.08125046,1.92433349,-0.080697149,0.077771017,-0.04970973,0.079825047,,0.009594787
Channel Islands,88,38381.732,15488.57835,53870.31035,12143.866,41726.44435,48.6140563,21.36054936,17.4614541,5.918784927,2.444951056,188.6018848,1.261942336,24.33656933,18.13529058,8.757928857,183.0189243,0.467240899,0.013632514,0.106288947,0.0737985,0.212597778,0.374131563,-8.45056715,-0.066610443,-0.612106777,-0.206242613,0.073391789,0.316809878,30.64189559,1.266098301,15.7145117,1.159298717,2.695241221,0.048796915,0.077251026,0.095551117,0.168313595,0.573937809,0.022120237
Chile,145,189887.295,187016.7312,376904.0262,28201.647,348702.3792,61.59488733,32.95944619,23.52609082,2.45838235,1.289118237,30.87617909,0.106188634,58.13917067,39.2386159,1.882479716,32.75822268,0.731337886,0.036529073,-0.020398636,0.01907,0.10875,0.02672037,0.048756682,0.037610029,-3.397354149,-0.109862712,0.143957866,0.386894173,19.09465327,1.440506077,14.08220337,1.336720872,2.094810495,0.092564284,0.055394796,0.073301707,0.103145249,0.595037314,0.038236009
Chi,3651,8590639.311,5728780.095,14319419.41,2160012.022,12159407.38,140.5512513,187.5040023,57.51994161,4.174717982,17.75322247,17.51478793,0.130972085,313.509873,110.9429587,15.53630081,18.14366309,1.294037761,0.016160402,0.079595181,0.093180448,0.263159426,0.224555495,0.05600711,7.929170803,-0.156673012,-0.107637464,0.156077288,0.120080282,18.63570926,2.068203467,23.59730915,1.751048724,2.329481215,0.108604449,0.036495,0.086422464,0.060129121,0.502771128,0.026401262
Colombia,40,92581.8,99315.66786,191897.4679,30002.263,161895.2049,16.19226649,22.16078965,30.32242457,0.220126097,1.169928019,1.593677369,0.09157459,105.0291074,187.8358914,7.229363882,2.58517101,0.472159526,0.021434723,0.142419048,0.164839643,0.433333333,0.0811,0.119901472,-0.185630522,0.192119127,0.182956616,0.228481542,0.217148182,36.68734533,1.336351155,14.72967694,1.34866051,1.661204452,0.058872572,0.059958814,0.041851125,0.09249185,0.912219954,0.040187592
Croatia,100,20027.704,6506.211603,26533.9156,2119.019,24414.8966,315.4907119,16.68283825,15.05157089,2.493943798,1.123725078,3.856156598,0.049517551,75.37075487,31.98418812,1.142797036,6.576120344,0.29197269,0.008316897,0.221387419,0.005344561,0.048,0.0706825,-0.034639026,1.436755244,-0.155903455,-0.183776148,0.056002417,0.184142333,56.88751285,1.377506448,16.75264077,1.279316172,1.811593655,0.039374445,0.005787578,0.042477395,0.00887919,0.457167113,0.013067599
Curaçao,4,15662.7,6658.692529,22321.39253,2471.44,19849.95253,21.78821982,75.84772347,20.63901099,,6.231849616,1.134830566,0.082566832,13.94554925,8.427562765,2.597264362,1.368437117,0.049633883,0.089528635,-0.21955,0.063825,0.182,0.01835,0.099766361,0.11110692,0.022468496,0.099637852,0.387469391,0.351953333,23.27133172,2.071627054,9.380574617,1.946568334,1.969612579,0.105627757,0.12859877,0.079241821,0.162288079,0.188578362,0.0096152
Cyprus,70,7588.46,17114.80088,24703.26088,6492.056,18211.20488,15.97362443,14.18608276,6.689616847,0.099659975,1.808865912,4.863729967,0.28734697,66.24853718,32.74716973,1.597410527,11.99920573,0.205541192,0.010138775,0.19062,-0.066778913,0.41,0.081455556,-0.053248193,0.318430974,0.018930314,-0.042729378,0.041457025,0.20037,-20.02432962,0.482910749,9.247073416,0.639739804,2.423435598,0.024324868,0.057789909,0.050866291,0.215377914,0.190520117,0.009596756
Czech Republic,11,23394.16,11410.83407,34804.99407,8051.39,26753.60407,13.33287905,15.60658531,14.31432237,9.548888445,1.924550853,2.677249935,0.156884186,30.57042696,17.65560407,2.814078981,7.10392709,0.523548241,0.037563083,0.126116667,-0.0119475,-0.01787,0.023176667,0.154600253,0.162176254,0.129852621,0.145354064,0.181510018,0.177744444,10.63326926,1.245053005,7.097971731,1.189150857,1.686870918,0.107019328,0.079593164,0.126788946,0.113559656,0.707607889,0.060822889
Denmark,149,344896.563,375323.1475,720219.7105,57573.758,662645.9525,48.09439199,25.18149359,26.37116447,4.27375034,3.189565172,8.567090625,0.142627942,332.8269145,214.4943755,8.423303518,10.10593775,0.325184094,0.025875929,0.192072308,0.063134661,0.129153571,0.136422745,-0.068118992,0.256001451,-0.587688369,-0.629671975,0.128770143,0.191827398,32.78323328,2.628638781,20.71187952,1.488572404,3.939436549,0.085236958,0.053750587,0.066487263,0.140451027,0.777362069,0.025206954
Dominican Republic,1,0.121,0,0.121,0,0.121,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0
Ecuador,2,1033.2,26.7,1059.9,0,1059.9,3.976119403,5.285714286,,,0.319884726,0.516880093,0,,,0.360866622,0.620488941,0,0,-0.144,-0.0967,,,0.063556116,0,0.104738155,0,0.14305949,0.00701,30.84179104,2.605800757,,2.503897945,4.405236908,0.063556116,0,0.104738155,0,0,0
Egypt,195,29882.733,20950.48157,50833.21457,14194.342,36638.87257,12.54932739,22.18710951,16.40082759,0.910427627,0.788989907,3.458638451,0.425543894,42.41026706,71.76842499,0.993283528,9.91558163,0.564404743,0.076963175,0.171291951,0.126178406,0.17375,0.180933333,0.083726361,0.731290988,-0.188606452,-0.243314488,0.159307844,0.076184058,9.558602179,0.880043309,6.440511602,1.047035787,0.996633472,0.112893694,0.094609455,0.104274789,0.099634264,0.462541764,0.059335771
Estonia,17,2486.59,1407.625191,3894.215191,645.628,3248.587191,29.34023481,40.822999,11.38845151,1.427674794,1.368858924,1.590695701,0.151677293,13.42743156,24.81540341,1.46245947,1.68421164,1.066103924,0.029865439,0.007214286,-0.009747692,0.3,0.069844444,0.034465291,0.111279257,0.068053568,0.088513188,0.142992038,0.19945,13.68401068,1.26206186,8.318896181,1.101796703,1.065739515,0.089270959,0.092204566,0.057701922,0.080534532,0.577848278,0.040873646
Falkland Islands,1,12.1,0,12.1,0.532,11.568,,,,,0.412969283,,0.043966942,,,0.402113459,,,0,,,,,-0.013569024,-0.021791014,,,0,0.095,,0.407407407,,0.40012452,,-0.013569024,-0.021899333,,,,0
Finland,141,216222.86,65996.60719,282219.4672,21863.839,260355.6282,46.56311842,30.7443636,18.76202782,3.826747918,3.008034351,48.72695873,0.068105287,52.52098713,36.8758424,5.429336491,78.74230016,0.819372995,0.028286447,0.038701343,0.008586733,0.229816092,0.054818182,-0.03937698,0.466070674,-1.778688643,-1.621138701,0.164171065,0.277827619,12.59387458,2.217650866,13.73500844,1.992728194,1.517801882,0.112555072,0.098433608,0.063976668,0.078705796,0.758568955,0.038500552
France,712,1931739.098,2783038.303,4714777.401,607821.194,4106956.207,742.2242318,32.0498547,53.95173441,3.060095335,2.700220191,73.75832153,0.115550772,45.17851263,29.63523424,10.36550402,65.72538371,0.555015317,0.014818376,0.09793407,0.038653279,0.143721978,0.23353443,-0.024499797,0.10379415,-6.30235402,-7.910914438,0.149186251,0.179914838,20.45595101,1.487804335,16.02083012,1.213512948,1.943379916,0.081636321,0.053271522,0.050156095,0.08067091,0.525134931,0.028814329
Gabon,1,741.3,344.6,1085.9,32,1053.9,,,,,0.440856378,0.647706422,0.029468644,,5.166176471,0.528509102,0.920838794,,0.027384325,,-0.126,,,-0.007269399,-0.037010977,-0.01381781,-0.080757421,0,0.0104,,0.39917075,4.530954428,0.494370954,1.078710338,-0.007269399,-0.039566722,-0.01381781,-0.080757421,,
Georgia,2,1443.2,737.4192669,2180.619267,376.8,1803.819267,39.16906985,17.19088497,23.83783784,1.049937025,2.013762989,4.927513727,0.129918475,362.6802356,295.495282,1.739834928,5.987683495,0,0,0.309,0.207,0.309,0.4845,0.252546689,1.655133061,0.308908254,0.076067492,0.027265501,0.87385,14.48850517,3.062818336,78.08741416,2.62878719,4.512932867,0.296901528,0.020191374,0.350012509,0.059434943,0,0
Germany,664,1653861.758,2135917.766,3789779.524,345722.553,3444056.971,62.10526325,47.30521597,29.79087763,2.7599081,6.860226754,34.79249018,0.17768657,180.7933628,51.66144138,6.000442728,36.69969863,1.122115579,0.230615904,0.094888515,0.033588881,0.171103611,0.224163587,-0.045804444,-2.370355741,-4.40399413,-4.29810438,0.153758622,0.213890436,22.32444575,1.881054448,15.03838294,1.390060367,1.611895,0.096618036,0.065519362,0.039757811,0.078288634,0.515384735,0.0264721
Gha,23,2364.765,642.003,3006.768,1046.276,1960.492,9.1433899,8.785088459,9.531518218,0.296976197,2.035597714,1.393071077,0.200835587,7.115648105,5.932619608,2.401622695,1.27765082,0.248723865,0.037945595,0.261515385,0.23414375,0.2568,0.119942857,0.392619296,0.238586864,0.08698375,0.062814205,0.199026433,0.19543,8.835849839,2.245378239,14.96855865,2.26424761,0.553525155,0.281960177,0.137111379,0.083841404,0.03375289,0.45034551,0.056551497
Gibraltar,7,1158.66,21.50688092,1180.166881,154.442,1025.724881,69.66333254,31.04550474,16.38429173,,10.05556509,1.363200732,0.042784098,19.22074355,9.441958812,29.42472808,1.652604992,0.776117318,0.006356096,0.101,0.1825,,0.18175,-0.698231553,0.043838612,-0.424696675,-0.322159949,0.02415981,0.111175,104.8561086,6.423866761,16.65949133,26.56775914,1.678791602,0.123353366,1.329527427,0.036414671,0.08664892,0.373949391,0.007180709
