Country,Number of firms,Sum of Market Cap (in US $),Sum of Total Debt incl leases (in US $),Sum of Firm Value (in US $),Sum of Cash,Sum of Enterprise Value (in US $),Average of Current PE,Average of Trailing PE,Average of Forward PE,Average of PEG,Average of PBV,Average of PS,Average of Cash/ Firm Value,Average of EV/EBIT,Average of EV/EBITDA,Average of EV/Invested Capital,Average of EV/Sales,Average of Payout ratio,Average of Dividend Yield,Average of Historical growth in Net Income - Last 5 years,Average of Historical growth in Revenues - Last 5 years,Average of Expected growth rate in EPS- Next 5 years,Average of Expected growth in revenues - Next 2 years,Average of Return on Equity,Average of Return on Capital (ROC or ROIC),Average of Net Profit Margin,Average of Pre-tax Operating Margin,Average of Effective Tax Rate,Average of % held by institutions,Aggregate PE,Aggregate PBV,Aggregate EV/EBITDA,Aggregate EV/Invested Capital,Aggregate EV/Sales,Aggregate ROE,Aggregate ROC,Aggregate Net Margin,Aggregate Operating Margin,Aggregate Payout ratio,Aggregate Dividend Yield
Greece,180,40115.759,140454.6489,180570.4079,17151.223,163419.1849,36.68324582,27.63914587,13.90601132,2.418926307,1.015413543,3.011352406,0.136217137,64.32113659,45.48687614,1.24719549,6.715344852,0.216478837,0.013759803,0.09966537,-0.02191811,0.320036842,0.009040465,-7.519782897,-0.06653952,-1.08097407,-0.409073012,0.137769791,0.129838261,,0.616982687,18.52593756,0.735725587,2.477110223,-0.104531731,0.026141494,-0.103022591,0.080521578,,0.022721821
Greenland,1,156.9,3.64,160.54,23.6,136.94,14.80188679,14.39449541,,,1.149450549,4.150793651,0.147003862,,,1.175047194,3.622751323,1.370642202,0.095219885,0.0466,0.0348,,,0.081161579,0,0.27735369,0,0.31875,0.3018,14.80188679,1.16827997,,2.219808721,3.484478372,0.081161579,0,0.27735369,0,1.370642202,0.095219885
Hong Kong,1347,1686496.633,891558.2206,2578054.854,343767.157,2234287.697,261.2279302,68.73953145,17.16701855,4.962313234,3.954066194,64.38667761,0.176802061,161.3309564,104.5589603,48.67021035,66.64300722,0.421799429,0.014592609,0.011274091,0.06986272,0.131373826,0.164483136,-0.064071707,-0.978884167,-1.768360337,-0.563208321,0.122163581,0.115174323,13.93724819,1.093158254,10.31754233,1.15714366,1.834385687,0.06523212,0.062432294,0.082625765,0.113022361,0.415626448,0.02480171
Hungary,37,37203.659,10154.81432,47358.47332,5608.811,41749.66232,387.369838,398.2165814,14.20216193,1.461428222,42.44548125,155.5694756,0.066025199,314.9238487,291.3808187,44.84280537,156.1347131,0.357693061,0.014392414,0.039271429,-0.037730769,0.22475,0.00236,0.088245412,0.103243148,0.070650529,0.051979939,0.099150959,0.183414762,-110.2497237,1.427970758,12.94714524,1.426523481,2.04506399,0.013914667,0.04922661,0.017757961,0.049619773,1.370552733,0.013355165
Iceland,18,8388.1,3556.040203,11944.1402,509,11435.1402,20.42080554,25.99883698,,,2.359106708,2.360617115,0.045095617,16.15036964,11.34639418,2.3936701,4.109958627,0.399958816,0.024227554,0.14738,0.032114286,,0.0832,0.163584546,0.154759147,0.153362748,0.187939339,0.175581295,0.583666667,15.57357722,2.385463294,12.98208551,2.539874473,1.770337374,0.151146078,0.125467726,0.082281517,0.109811119,0.311092965,0.019711258
India,3432,1562764.473,577147.6082,2139912.081,98169.507,2041742.574,256.520577,123.3065232,20.13922406,7.63748003,8.639854775,23.94826458,0.058055983,291.9285119,138.4972806,221.3424475,37.41426339,0.083910178,0.002918009,0.097197953,0.091484522,0.252411722,0.138347295,-0.018163104,22.17527369,-0.5325957,-0.719073527,0.168864164,0.133293681,29.56006915,3.930412781,14.81661857,2.560314516,2.01265272,0.127476385,0.108643109,0.049963513,0.097399688,0.304001102,0.009859769
Indonesia,471,403551.644,120216.3256,523767.9696,52698.273,471069.6966,158.9101491,58.99837514,20.23006797,1.969242051,3.4632077,12.78047456,0.123131459,52.92315518,23.31765231,3.411396011,14.272309,0.218273202,0.009735741,0.096303598,0.091710866,0.231214516,0.116051029,0.084344058,0.091788403,0.054488132,-0.052077691,0.179055299,0.153347507,33.55052982,3.075555978,17.6064338,2.546133436,2.532384767,0.124622377,0.078251851,0.087905498,0.101835891,0.443061397,0.01795297
Ireland,83,598607.226,259000.6328,857607.8588,46650.755,810957.1038,71.57051908,82.28446036,23.21546942,6.775160172,2.7326416,204.9993532,0.141179938,31.36722292,82.42014995,3.84365119,191.7368364,0.350831829,0.007628341,0.158660606,0.107096364,0.152463333,0.391689649,0.203853187,-0.040380523,-20.57493502,-26.38434153,0.100392164,0.494947123,28.48720112,2.178484375,16.05025805,2.359067632,2.611069238,0.117257624,0.095964837,0.103740683,0.112709428,0.261870688,0.014095274
Isle of Man,15,4242.03,1168.828218,5410.858218,1121.791,4289.067218,9.122509508,11.69423509,11.30968093,0.338576779,1.173194701,1.980856519,0.255296674,8.525026447,16.81753681,2.419983681,2.269125675,0.221989581,0.014402158,0.178375,0.06001,0.3,0.144433333,-0.675984349,-0.526928501,-0.505258124,-0.474094416,0.064440589,0.266741667,19.5549235,1.729888153,9.795745616,1.922045142,3.071830004,0.08153702,0.157040312,0.143200612,0.265120455,0.601645452,0.028358121
Israel,489,173091.155,185552.9658,358644.1208,91269.142,267374.9788,40.04889696,27.11480752,47.92362296,5.166043892,2.581847788,174.5829542,0.184862275,54.70675107,24.6140118,7.414565362,172.9930323,0.464612715,0.021759135,0.081031225,0.069491368,0.225380645,0.910058286,-0.542382202,-0.946667094,-77.34961234,-73.60036467,0.12121364,0.174920773,16.80769816,1.871735825,12.25558292,1.433590094,1.827978651,0.091737065,0.064162169,0.05799967,0.09543947,0.420620918,0.020615371
Italy,300,516794.37,1047823.848,1564618.218,91455.79,1473162.428,60.93606946,39.03075466,20.67514834,3.987815671,2.677233975,10.51820608,0.105322497,1446.79423,889.8873978,2.922143267,12.67356477,0.437525892,0.018124481,0.090984537,-0.010303398,0.188324493,0.068219157,0.008804623,0.100239876,-0.264276674,-0.187289034,0.205887783,0.15269166,34.80786596,1.08385497,16.35698464,1.055261201,1.98563836,0.022124517,0.035989369,0.014219028,0.067378856,1.754120472,0.035806513
Ivory Coast,30,5282.96,90.84,5373.8,68.93,5304.87,22.74794186,22.30498443,18.71718147,1.645066786,5.491256556,1.741705505,0.024282828,22.34158324,11.06971218,7.537937967,1.738533936,0.34683124,0.011304112,0.112385714,0.071825,0.147,,0.221524976,0.26618389,0.08147807,0.08249736,0.148919048,0.005593333,22.62625917,15.8976859,11.67316536,14.87587245,1.284845476,0.671415245,0.857682112,0.05403943,0.072091165,0.374775679,0.015828096
Jamaica,48,5672.983,4392.996427,10065.97943,1548.944,8517.035427,22.96525161,35.9493218,,,4.349560683,4.237914295,0.094149564,217.895689,82.75617027,4.011408188,5.731395828,1.915181604,0.019780453,0.14368,0.109390625,,,0.193875969,0.190358415,0.218216885,0.148276242,0.105091007,0.142842222,11.29234992,1.866825784,19.63925766,1.186894316,2.1972126,0.182054396,0.062610491,0.142722515,0.103652568,0.345373025,0.033681063
Japan,3679,4918286.03,5988524.332,10906810.36,4034925.147,6871885.215,39.05283867,28.64556374,34.40778464,14.21951047,1.725456548,2.136836743,0.330966779,606.914945,256.6310888,4.421642808,2.263856854,0.377745647,0.01566638,0.138882189,0.041322345,0.102827425,0.06575226,0.065072785,1.612269202,-0.030419984,0.002596661,0.28119861,0.170561147,17.5808435,1.316274932,9.692009581,1.129581305,0.928761799,0.078843944,0.074867007,0.039816581,0.063983436,0.413576629,0.02477295
Jordan,177,23523.045,4567.37876,28090.42376,16273.024,11817.39976,185.012662,86.61033449,13.8496454,0.575714433,1.116350647,101.8148112,0.187473333,46.66974644,29.775422,1.235008805,112.1147822,0.99413775,0.020401779,-0.061825,-0.031091304,0.225,-0.002218889,0.031436304,0.055819025,-0.985691465,-0.357223767,0.101274552,0.078651364,14.92536381,1.072001319,7.429383175,1.696322014,0.801980048,0.06437086,0.070952592,0.095858178,0.05342626,0.685161101,0.041142123
Kazakhstan,10,4795.92,1784.676,6580.596,1238.131,5342.465,70.48350222,59.78239178,,,20.53427112,14.82467497,0.158247255,18.86692326,10.4367208,4.520934397,14.75922622,0.143634121,0.012016593,0.300075,0.1675,,,-0.068366291,-0.067880202,0.114849814,0.105193578,0.159016946,0.192878571,22.78206097,1.056575774,7.866063291,1.0116002,3.006604161,0.101558101,0.09466696,0.259430134,0.264398872,0.322414661,0.030990509
Kenya,56,18509.478,6526.859867,25036.33787,1572.147,23464.19087,14.5045968,17.04281599,8.585636213,1.070252892,1.205966933,1.45350045,0.083489985,102.4233119,42.84602401,29.6629224,1.822005702,0.31937298,0.030480832,0.096590909,0.084706977,0.115090909,0.0364135,-0.005270063,3.386525447,0.014604505,0.012554638,0.185385084,0.108306512,13.33118079,2.342533044,11.53119889,1.813613967,1.840640233,0.205463533,0.111724248,0.127352222,0.122252302,0.434506297,0.03811054
Kuwait,159,75383.49,88397.12405,163780.6141,37647.145,126133.4691,25.13284952,20.68642858,11.36494472,1.263439158,0.865247866,58.92240582,0.143086656,75.2385899,55.65194958,0.941485866,60.71955732,0.488818268,0.029608858,0.070919524,0.031408492,0.066166667,0.018852667,0.026270712,0.052501238,-2.939554059,-3.655426403,0.017020797,0.16406505,15.95143649,1.083627503,21.66215576,1.095638411,3.396005153,0.066637605,0.025747395,0.124811213,0.088952102,0.642547204,0.0395134
Kyrgyzstan,1,41.4,0.136867639,41.53686764,2.06,39.47686764,,,,,1.182857143,,0.049594496,,,1.193488696,,,0,,,,,-0.10255814,-0.117607739,,,0,0.4745,,0.962790698,,1.039497728,,-0.10255814,-0.135030124,,,,0
Laos,1,307.2,164.1908399,471.3908399,10.4,460.9908399,7.314285714,8.702549575,,,0.875962361,0.781878341,0.022062372,27.16211424,17.23330243,0.91377445,1.173303232,0.013399433,0.001539714,0.112,0.178,,,0.108715738,0.03616881,0.101146132,0.048629891,0.041873278,0.3878,7.314285714,0.946104096,12.84097047,1.025356388,1.320890659,0.108715738,0.033641507,0.101146132,0.048629891,0.013399433,0.001539714
Latvia,16,742.137,261.7338165,1003.870817,153.055,850.8158165,21.63385123,21.70747086,7.946902655,1.154618474,0.651641178,0.605752417,0.094582063,10.78895734,5.847081043,2.341003842,0.86109639,0.428840763,0.015900874,-0.070728571,-0.035748462,0.066,0.085,-0.282612517,-0.142824498,-0.069808862,-0.034578541,0.105002969,0.156504,15.96611592,0.614542594,5.136163865,0.603383884,0.901955809,0.020622296,0.056870782,0.026400905,0.08003409,1.532163508,0.051415035
Lebanon,7,6758.1,6027.834248,12785.93425,18667.94,-5882.005752,8.170212642,24.89263169,14.34567176,,0.783764616,4.503213318,1.248252926,12.7799203,10.15749186,1.109373466,9.082496698,0.306216728,0.010931235,0.008728333,0.051858333,,0.1886,0.127574319,0.074199705,0.23709967,0.132937137,0.236076426,0.0422625,10.66013629,0.984213209,,,,0.11455181,,0.248387912,0.039594262,0.042589979,0.004957015
Liechtenstein,2,1791.5,3249.53405,5041.03405,7211.7,-2170.66595,11.98071845,13.02427398,13.32586973,,0.677531417,3.164053883,1.719559249,412.1404505,39.91575063,0.197629246,0.446627645,0.51959771,0.039919634,0.11495,-0.01195,,-0.01565,0.050763778,0.000527227,0.229324708,0.002267607,0.041185317,0.05705,12.22032742,0.662218608,,,,0.051121872,,0.23428765,0.002122971,0.522053507,0.040301423
Lithuania,29,3869.39,2137.491632,6006.881632,473.126,5533.755632,21.39487706,26.97427895,10.45421384,1.274465694,1.227907039,1.806219796,0.13085089,167.2467619,18.29967989,1.102345542,2.645077731,0.445567529,0.024155602,0.007525,0.005488,0.072666667,0.11445,0.139249734,0.090349614,0.114058926,0.102211068,0.135492152,0.1222376,18.16845328,1.44958435,11.61989797,1.379205563,1.507215187,0.10540252,0.057884443,0.076631141,0.079509432,0.448655066,0.032622713
Luxembourg,55,115302.601,62807.83164,178110.4326,10023.14,168087.2926,29.02427884,38.11571939,18.87506774,6.97200166,3.15574488,17.07253559,0.32443511,71.45976015,28.69857858,3.33008595,19.23844747,0.370502077,0.013717936,-0.000661429,-0.007197143,0.195846667,0.149641429,0.026800407,0.001421108,-38.75083243,-49.37777831,0.174255583,0.249623,,1.509552456,11.38622976,1.438750181,1.56140161,-0.074307268,0.071419851,-0.05272322,0.077553717,,0.018135631
Macau,10,53210.8,6671.550411,59882.35041,710.36,59171.99041,65.14214594,194.8623609,24.9554768,2.092746994,3.194656394,5.13288562,0.08740588,57.74432571,80.73866974,80.94825289,5.380749516,0.38937555,0.025966522,-0.08144,-0.0433375,0.167666667,0.12995,-0.049213144,0.758083251,-0.361032626,-0.029943987,0.071367712,0.05439375,25.24427897,7.610675668,18.90486779,5.34057193,5.219093142,0.228499771,0.162888948,0.140909805,0.174270032,0.731056117,0.021948926
Macedonia,1,34.9,0,34.9,0,34.9,,,,,,1.994285714,0,,,,1.994285714,,0,,,,,,,0,0,0,0.1036,,,,,1.994285714,,,0,0,,0
Malawi,7,447.42,6.56,453.98,137.3,316.68,7.828497993,7.781353325,,,1.430601579,1.320719496,0.407253748,4.45212766,3.282352941,2.678499113,1.325542356,0.523703408,0.055546337,0.18835,0.266,,,0.180643634,,0.153523831,0.066469742,0.168593548,0.21355,8.556020882,4.08229927,8.845810056,,0.968144298,0.48625,0.391034677,0.162925711,0.08480587,0.378999118,0.045143266
Malaysia,902,358311.103,200186.6839,558497.7869,77954.16,480543.6269,24.65547217,29.90908386,16.99549586,2.115430138,1.491506448,13.82766992,0.15101039,322.7923933,128.2271812,3.662437348,16.42292681,1.562625649,0.066680112,0.062796865,0.04683202,0.128673672,0.111811523,0.028531249,0.404156987,-0.834248396,-0.560127786,0.167529265,0.154267594,18.11832274,1.493215836,14.01679701,1.354386334,2.22722568,0.080859066,0.052603571,0.089928594,0.099133322,0.565404049,0.03061717
Mali,1,130.9,0,130.9,0,130.9,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0
Malta,26,9361.09,3249.286425,12610.37642,1351.507,11258.86942,24.34322706,36.54967896,19.78612425,,3.379671365,13.8631377,0.064815456,227.1209728,125.1166534,3.931168897,16.36207866,0.261261175,0.010413741,0.109858333,0.121225882,-0.13,0.13007,0.196937689,0.172243524,0.056117909,0.060119826,0.187271603,0.234615833,4.959877883,1.203253393,53.09535213,1.144802232,7.07965183,0.014654845,-0.004128058,0.071691502,-0.024205839,1.26567028,0.015415042
Marshall Islands,1,962.4,3764.960007,4727.360007,538.5,4188.860007,4.826479438,,10.43378995,0.330580783,0.535499666,1.175091575,0.113911358,14.300941,6.633190827,0.846514805,5.114603183,,0.151184539,,0.109,0.146,0.0464,-0.036305121,0.053483528,-0.072803442,0.33164402,0,0.1274,,0.543391113,7.656479633,0.764864783,4.742821566,-0.036305121,0.059192944,-0.072803442,0.33164402,,0.151184539
Mauritius,68,7904.732,4080.632921,11985.36492,2026.545,9958.819921,23.56736297,22.32289895,3.806530612,,1.244675902,22.95066358,0.099200249,77.43964484,85.06702522,3.618059696,17.55749185,0.554733942,0.017979838,0.087548276,0.258160513,,,0.808006132,0.78572161,1.992622303,0.187493909,0.101538797,0.187064444,14.34290225,1.079570233,12.37514032,1.00479544,1.584177083,0.091034278,0.037399268,0.106032024,0.074162178,0.293491538,0.024748543
Mexico,115,330817.15,215815.9963,546633.1463,34337.974,512295.1723,160.7761747,69.49892656,17.40212299,1.859800659,2.334634941,2.929910772,0.093531757,53.94721831,41.69958521,1.999929154,4.84706829,0.419223979,0.0200399,0.073917059,0.105974432,0.161137778,0.142936308,0.144439629,-1.256210486,0.46559134,0.130136988,0.229846957,0.179927222,19.90409527,2.240472222,11.49007032,1.683628914,2.143435164,0.116465777,0.088579772,0.071951006,0.11572018,0.281415023,0.01462871
Moco,14,6488.51,12920.24027,19408.75027,1398.917,18009.83327,19.0832351,9.380288722,15.82872155,3.198681009,0.968625111,2.293979309,0.095628686,13.56028457,10.7080369,0.831258407,5.395122394,0.896798174,0.063524201,0.0776,0.134311111,0.0655,0.028536364,-0.020152621,-1.317136779,-0.381413013,0.142508506,0,0.255784615,,0.683318112,10.65607554,0.889077277,4.787175585,-0.030610308,0.037102323,-0.077260838,0.207944219,,0.061920302
Mongolia,2,495.3,819.9448499,1315.24485,12.1,1303.14485,,,,,2.494792976,1211.420063,0.068184564,,,1.710582289,1097.918902,,0,,-0.29,,,-0.337611513,-0.077832687,-2.366542381,-1.424504742,0,0.09025,,1.56839772,,1.153639157,21.80630606,-0.545725142,-0.096689724,-2.883868809,-1.588269243,,0
Montenegro,1,0.013,0,0.013,0,0.013,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0
Morocco,71,56752.59,29131.60776,85884.19776,5041.16,80843.03776,19.75195815,18.52288533,18.17720449,3.976386778,2.769698949,30.60258128,0.039438884,15.47715423,10.84420021,27.34228947,32.09976503,0.370793677,0.01588844,0.005175532,0.032679815,0.06175,0.071938276,0.121813091,0.085063841,0.076498231,0.109842541,0.253280687,0.164617917,22.86289616,2.907233615,20.84878974,1.917208274,3.64177431,0.138949692,0.064922728,0.12218946,0.129558724,0.727497548,0.03477036
Mozambique,1,1.51,3.181852808,4.691852808,4.06,0.631852808,,,,,0.113533835,0.081621622,0.865329789,,,0.050866229,0.034154206,,0,,0.0638,,,-0.283892617,-0.186003965,-0.457297297,-0.268668679,0,0.2902,,0.050671141,,0.023645546,0.034154206,-0.283892617,-0.400131175,-0.457297297,-0.268668679,,0
mibia,5,2259.2,465.2009012,2724.400901,382.97,2341.430901,11.13521729,11.02527577,9.42141844,,1.840483544,2.635239827,0.131361863,262.5823893,139.1209133,1.904572433,2.889298251,0.388859922,0.034605023,0.1269,0.13638,,0.109,0.205868774,0.095359056,0.262709863,0.133516518,0.226242368,0.19634,10.74274845,2.642957417,22.75443052,2.391086838,2.607093755,0.249532054,0.095973648,0.237501392,0.10217105,0.370698547,0.034999115
Netherlands,142,804535.522,590407.2081,1394942.73,125029.169,1269913.561,51.94727923,30.02522308,21.43630346,3.396164823,3.377273889,19.0525965,0.15237697,167.8720777,33.42757109,8.499637102,29.32852726,0.623395984,1.749212561,0.025552319,0.040427368,0.14995814,0.064644667,-0.058715903,-0.212661319,-0.147549087,-0.462016623,0.139657129,0.375859669,30.13487813,1.958101706,14.99000855,1.747726234,1.650575962,0.070786922,0.050366122,0.037802834,0.056305864,0.791951514,0.028629672
Netherlands Antilles,1,2.93,0.082,3.012,0.001,3.011,,,,,,,0.000332005,,,,,,0,,,,,,,,,0,0.029,,,,,,,,,,,0
New Zealand,136,78115.255,32768.99053,110884.2455,2313.903,108570.3425,23.29910812,48.10967406,17.23561804,3.880931743,4.780669031,27.65298764,0.061817526,51.11532587,147.5009027,13.92260317,26.76809949,0.513421978,0.043091155,0.169348077,0.133765,-0.029350441,0.129549868,-0.100418196,-0.318943077,0.748280472,-2.282539604,0.144235612,0.222358425,16.92468081,1.978960813,12.07243376,1.738789863,1.914429528,0.112983689,0.095253559,0.078639834,0.11884506,0.740081798,0.042253071
Nicaragua,1,2.5,0,2.5,0,2.5,,,,,,,0,,,,,,0,,,,,,,,,0,,,,,,,,,,,,0
Niger,1,142.9,0,142.9,0,142.9,14.82365145,13.23148148,,,,4.979094077,0,,,,4.979094077,0,0,0.186,0.173,,,,,0.354098361,0,0.190298507,,14.82365145,,,,4.685245902,,,0.354098361,0,0,0
Nigeria,143,29283.365,20491.40389,49774.76889,13617.232,36157.53689,18.91806038,39.69028563,17.84552987,0.492428026,3.435365467,1.029869137,0.292229065,34.36429677,23.1131571,2.389516537,1.601114854,1.226272136,0.029270087,0.020241224,0.06669506,0.139733333,0.121789189,0.009490412,0.100890988,-0.149537457,0.009302524,0.140600772,0.096939403,8.397569172,0.983437894,8.672213541,1.122940796,1.79242782,0.059404611,0.049570673,0.087687368,0.070259878,0.788595386,0.04763514
Norway,188,235962.769,330845.2862,566808.0552,48045.58,518762.4752,31.5540879,19.70776329,21.94897471,1.979264653,2.194742449,181.7310481,0.100034178,219.8170342,400.5173405,10.96855861,156.9492983,0.821925821,0.04104912,0.190430278,0.092934234,0.404917143,0.137209174,0.071366566,-1.560182955,-31.24710994,-29.40066872,0.116644412,0.336544941,143.964975,1.60396774,13.66867021,1.22913255,2.900706581,0.063013284,0.051790828,0.051834059,0.127184849,0.942341148,0.037020701
Oman,69,21115.81,14813.85899,35929.66899,11610.526,24319.14299,14.04364183,25.58033809,9.912514177,0.813980905,1.380852463,4.494108261,0.148609242,27.99971599,248.9172143,1.341546601,6.132365031,1.495521043,0.047760538,0.054087442,0.056632909,0.211,0.026770667,0.095614127,0.105266274,0.111953641,0.035059167,0.105461759,0.209089107,12.70908242,1.281390901,10.86872557,1.359154623,1.764816233,0.105370409,0.066901838,0.126007385,0.102632136,0.615233993,0.050591476
