Country,Number of firms,Sum of Market Cap (in US $),Sum of Total Debt incl leases (in US $),Sum of Firm Value (in US $),Sum of Cash,Sum of Enterprise Value (in US $),Average of Current PE,Average of Trailing PE,Average of Forward PE,Average of PEG,Average of PBV,Average of PS,Average of Cash/ Firm Value,Average of EV/EBIT,Average of EV/EBITDA,Average of EV/Invested Capital,Average of EV/Sales,Average of Payout ratio,Average of Dividend Yield,Average of Historical growth in Net Income - Last 5 years,Average of Historical growth in Revenues - Last 5 years,Average of Expected growth rate in EPS- Next 5 years,Average of Expected growth in revenues - Next 2 years,Average of Return on Equity,Average of Return on Capital (ROC or ROIC),Average of Net Profit Margin,Average of Pre-tax Operating Margin,Average of Effective Tax Rate,Average of % held by institutions,Aggregate PE,Aggregate PBV,Aggregate EV/EBITDA,Aggregate EV/Invested Capital,Aggregate EV/Sales,Aggregate ROE,Aggregate ROC,Aggregate Net Margin,Aggregate Operating Margin,Aggregate Payout ratio,Aggregate Dividend Yield
Pakistan,432,93339.037,34598.60484,127937.6418,14499.861,113437.7808,47.64248315,37.02595475,11.89514334,1.126225595,2.734638402,6.456362428,0.062015897,34.25559953,204.0216424,2.651805549,7.684289658,0.526375756,0.025006259,0.109617282,0.035309726,0.142580645,0.09302875,0.295454517,0.089644355,-0.892208101,-0.115213503,0.169129596,0.110354663,14.93621272,2.548774403,13.09145604,1.923995291,1.771494076,0.168009848,0.09715201,0.096083461,0.094769938,0.558940731,0.036844197
Palestinian Authority,28,2769.95,395.166,3165.116,1925.273,1239.843,35.19689876,39.05167981,,,1.150357548,5.076352671,0.480509378,50.98628325,81.36813611,1.124379533,5.368699092,0.487456642,0.030002502,0.0918,0.0683375,,,0.093129962,0.091803233,0.012344269,0.043344233,0.143807406,0.046545,12.09669671,1.359124453,4.413682011,1.916247821,0.698921664,0.123256168,0.252748853,0.141606494,0.105672862,0.551821052,0.050043503
Pama,6,5364.73,17137.3415,22502.0715,1317.79,21184.2815,6.195392984,8.600451789,11.91869115,,1.531394052,2.401950246,0.048628986,58.5033795,438.6219471,2.254502679,8.264542641,0.518505582,0.025563758,0.0584,-0.019075,,0.0266,-0.228068927,0.037433859,0.125615892,0.163563227,0.025771753,0.334625,-242.221871,1.454231552,16.59949969,1.058291906,4.884096809,0.000597986,0.049081057,0.0005086,0.306351063,109.8368087,0.045165367
Papua New Guinea,4,8114.7,4523.468977,12638.16898,829.36,11808.80898,75.33333333,18.80484115,37.53623188,10.74655254,1.625882315,15.60928222,0.125522231,895.4939562,68.37875375,2.121304059,14.33181261,0.605143722,0.012867847,,0.0259,0.08505,0.01145,-0.288727023,-0.10599828,-0.591886885,-0.213374723,0.098148148,0.381925,,1.556896452,10.20340521,1.31747823,8.838730403,-0.06110397,-0.006619781,-0.238377881,-0.041834536,,0.019261341
Peru,66,70195.36,39217.05089,109412.4109,22690.29,86722.12089,24.26459631,13.29666645,13.51591966,2.746193644,1.723955335,2.94407934,0.11422611,43.43920444,9.619147522,1.722571554,3.351537517,0.365386896,0.02592381,0.007021739,0.053533103,0.15,0.073487333,0.122141658,0.081191128,0.15868742,0.09979731,0.220404828,0.137960556,22.96223967,1.898862906,14.92597964,1.45199496,2.112870754,0.111385112,0.068754719,0.100319413,0.08948703,0.388371905,0.022781449
Philippines,237,233303.715,141228.8567,374532.5717,43199.469,331333.1027,68.91697273,43.77824718,16.67964118,1.544719068,5.794761573,48.7057205,0.123049963,231.2280105,139.6787019,27.53964226,55.96598482,0.259509007,0.01183127,0.141044836,0.247455976,0.13398549,0.11724303,0.076618236,0.24900608,-0.189579239,-0.044952188,0.172847138,0.106886747,18.76513503,2.036990077,11.74802978,1.673982784,2.366932043,0.123279409,0.090643686,0.100865872,0.155469115,0.301378259,0.018239526
Poland,793,135134.222,82026.65216,217160.8742,22101.246,195059.6282,55.4628764,41.96843808,19.33754695,4.168018283,6.696480052,86.33048682,0.077627709,62.33895587,75.45497869,3.954456018,94.56709426,0.537627584,0.022133591,0.096411264,0.091747668,-0.06742,0.132746667,-0.082685803,-2.11994E+15,-11.73797093,-4.333972444,0.113184636,0.283260358,39.45316233,1.119559735,11.76887707,1.096886543,1.258353742,0.035009676,0.0484497,0.027260983,0.055016682,1.171094914,0.036621229
Portugal,49,52510.091,69229.04569,121739.1367,10943.282,110795.8547,13.55047085,80.05994052,13.20807082,3.906192151,1.290053735,0.71925724,0.09467233,20.32377096,12.11262871,5.473658332,3.198786076,2.267121311,0.040387846,0.062292,-0.03132186,0.059511429,0.016042,0.737378249,0.507792195,-0.37498429,-0.135665607,0.164692275,0.248158372,,1.361983625,11.33616366,1.211445905,1.424504721,-0.049607995,0.05329341,-0.02459025,0.064994679,,0.054519892
Qatar,44,154714.9,97536.68934,252251.5893,40010.158,212241.4313,14.38866616,20.49953948,13.34836473,1.858526416,1.57425494,1463.164907,0.165496625,427.7149639,555.3424255,2.044429152,1448.041572,0.599217599,0.030151191,0.068659474,0.086732619,-0.0299375,0.02915,0.10831973,0.103442065,3.278093291,0.049052899,0.0074229,0.121424324,12.94726527,1.66498319,23.9527439,1.53376463,5.661556024,0.117670561,0.028418441,0.291672682,0.121164045,0.452824823,0.032002816
Reunion,1,56.9,98.58608791,155.4860879,2.91,152.5760879,,17.50769231,,,1.267260579,0.600844773,0.018715501,17.94425406,7.360158606,1.085363024,1.611151931,0,0,-0.0936,0.0835,,,0.079268293,0.040533684,0.027659574,0.072364106,0.304068522,0.01,-8.647416413,1.387804878,18.31645713,1.045141288,1.298519897,0.079268293,0.060485268,0.027659574,0.072364106,0,0
Romania,73,17418.275,3341.807218,20760.08222,3543.151,17216.93122,16.51276632,11.5074112,10.30029392,,0.828883046,1.693189496,0.174959964,21.91296723,8.244110692,1.671228449,2.922752246,0.385020411,0.024038564,0.067066667,0.007978679,,-0.0011625,-0.125593733,0.079582373,-2.027069205,-1.925074798,0.125095219,0.153367097,9.702785176,0.779131059,4.165645931,0.772983213,1.177112339,0.049258216,0.077827835,0.075289683,0.125799152,0.825275014,0.052175528
Russia,205,380780.728,279576.6842,660357.4122,104656.971,555700.4412,413.62999,45.10811742,8.314875992,0.927957724,6.655569812,7.161299337,0.102187152,62.83798552,35.44978004,2.957347263,8.758750741,0.315889229,0.019308397,0.107423784,0.098528931,0.17444,0.100894146,-0.09422086,0.059352152,-0.118939959,-0.099463313,0.147538434,0.125739122,9.634127223,0.765705529,6.829619361,0.810078381,1.217505445,0.090112272,0.086789576,0.098180963,0.124096254,0.247000026,0.029068268
Saint Lucia,1,0.943,0,0.943,0,0.943,,,,,,,0,,,,,,0,,,,,,,,,0,0.0458,,,,,,,,,,,0
Saudi Arabia,170,447340.8,204196.2912,651537.0912,72187.01,579350.0812,79.86505727,24.30109813,21.87601718,1.945645437,2.079532133,5.544475714,0.149355839,150.4657365,134.3804398,2.251179126,5.79614275,0.513728092,0.025181568,0.074589136,0.072349762,0.096785714,0.031165974,0.079981909,0.068065905,-0.117246481,-0.06603212,0.060271569,0.088172963,16.84345853,1.774029905,15.08354544,1.680496743,3.48430315,0.100659793,0.045799598,0.152654099,0.113324553,0.597812489,0.033920331
Senegal,4,4226,287.97,4513.97,415.6,4098.37,18.35472978,25.3520808,12.56329114,3.086131841,2.96765466,2.046514262,0.024421201,11.06134712,6.437810192,3.157650802,2.057522857,0.291744258,0.017758186,0.0575,0.0726,0.04,0.0437,0.360160966,0.486077791,0.097630981,0.128111593,0.176800313,0.0218,12.74273308,4.723898949,5.186497089,5.297789555,1.946784154,0.369651241,0.609018706,0.157082462,0.265532966,0.852762406,0.066729768
Serbia,62,2488.187,1308.669951,3796.856951,961.194,2835.662951,9.274978146,10.0962086,9.724319698,,0.688193158,3.5188026,0.05538542,9.078064984,6.382200013,0.899122265,3.820558817,0.544677985,0.010364245,-0.0392,0.1762175,,-0.03127,0.035953607,0.051729724,-0.068162123,0.031447193,0.010160165,0.12171475,16.75998249,0.676431873,5.979383753,0.697772666,0.926759926,0.025878099,0.069804236,0.031110283,0.085363496,1.22707007,0.046943739
Singapore,568,453487.776,314078.9879,767566.7639,98039.223,669527.5409,35.85628139,23.15234969,17.32983439,3.326840542,1.56146258,22.54099326,0.255417911,43.00495956,88.4226766,8.013778163,27.22814598,0.510416474,0.030822277,0.018565943,-0.001572766,0.070249333,0.105536985,-0.06192471,0.710223526,-14.60515884,-3.124140985,0.112809614,0.137705597,18.87607512,1.330229736,17.70644979,1.284234176,2.13360734,0.064953144,0.039157908,0.07056432,0.075175693,0.601533432,0.029371985
Slovakia,11,5189.005,3427.466051,8616.471051,484.23,8132.241051,11.12438935,26.1664598,,,0.961514605,1.607099244,0.054485387,3405.388698,2474.896609,89.9570566,2.530505393,0.806962988,0.037398482,-0.0728125,0.05574,,,0.093084199,4.221613247,0.097465246,0.102363013,0.174570398,0.103,9.738154801,1.572187547,12.27322827,1.373073327,1.54221841,0.154391759,0.065563136,0.096636122,0.079755245,0.723949605,0.071093206
Slovenia,30,5189.741,3528.883458,8718.624458,403.223,8315.401458,25.20808351,16.25539221,13.05085134,1.781246759,0.548899575,16.11815898,0.054550028,20.32127444,6.413107188,0.673224314,19.07852389,0.960727362,0.026011645,0.010623077,0.043842857,0.22672,0.025362857,0.049864305,0.051094904,-3.093735138,-9.866196586,0.079023185,0.425761852,10.12833969,0.808106538,6.681097992,0.880692524,0.623331616,0.062747077,0.063343621,0.030206923,0.045584541,0.770804014,0.059850646
South Africa,273,443204.765,165150.5746,608355.3396,54177.665,554177.6746,21.71343406,22.12846447,14.66573707,1.668461381,2.544934628,10.78103729,0.114693701,51.55883489,492.2900237,2.758849776,11.26867075,0.492975493,0.028516202,0.155727181,0.133018543,0.147272941,0.139161842,0.163846131,0.206332591,-0.53400745,-0.266043005,0.197659805,0.459941203,17.79893782,2.092545449,15.06778669,1.830803751,2.025995204,0.113726512,0.082517361,0.088060395,0.094083769,0.539799609,0.029337249
South Korea,1928,1158011.249,1199726.503,2357737.752,224812.8,2132924.952,85.35152452,102.8916134,16.66496478,1.847756869,4.938717896,3.548617358,0.109730251,80.98285967,47.03290438,7.539691889,3.903857915,0.231471618,0.007387786,0.045206372,0.029467274,0.230804094,0.119289895,-0.009843853,0.027348619,-0.031115562,0.000838056,0.1434947,0.121027161,13.68594148,1.064737951,10.30499905,1.101817325,1.05197052,0.07991249,0.065588922,0.042865974,0.074436498,0.195653771,0.014684533
Spain,167,658610.269,1045223.649,1703833.918,102933.957,1600899.961,59.76003722,47.42474242,18.54562227,2.452487428,3.257150887,9.186331829,0.06732365,313.8404484,37.82588717,3.974169309,12.4338045,0.251955312,0.012876016,0.071925075,-0.00487713,0.232818182,0.081040337,-0.019472866,0.133765244,0.434785545,-0.127785155,0.152632064,0.226987051,19.63092555,1.416351711,24.15609514,1.191843174,3.327262002,0.057749694,0.030577324,0.055812295,0.086933703,0.73604773,0.030011283
Sri Lanka,256,15955.91,15431.17066,31387.08066,2208.822,29178.25866,66.82168917,12.48509045,9.721850387,0.508895824,1.356112938,3.818426484,0.075195114,86.59034415,60.07666159,1.233881548,4.643927035,0.345710715,0.025727491,0.14313625,0.116035405,0.27,0.155147619,0.092296558,0.065140338,0.225078831,0.0713162,0.17006369,0.134763547,11.62784986,1.325106652,14.11632422,1.285503597,1.772995548,0.123254217,0.053703376,0.090182196,0.089711726,0.346480924,0.032227772
Sudan,2,215.6,271.8,487.4,58.9,428.5,3.389212579,3.213927712,,,0.290075758,1.109278887,0.416879177,4.949232586,2.516206483,0.314768985,0.687510897,0,0,0.4301,0.0772,,,0.086389548,0.036927687,0.292484306,0.088970588,0.226165669,0.0683,2.941336971,0.287850467,2.679799875,0.416302341,0.854777578,0.095861148,0.095393625,0.143227608,0.168960702,0,0
Sweden,661,674782.972,902607.7829,1577390.755,198975.731,1378415.024,64.13072191,57.00629215,22.99678954,3.382716676,6.107749094,69.26093141,0.079236376,303.0785327,48.2534564,25.90872936,65.38208795,0.492369476,0.013188437,0.149915449,0.097394174,0.14742234,0.148387976,-0.911904118,-0.846971188,-7.274749745,-6.683848048,0.100263211,0.260239283,16.97565303,2.169161005,27.01700657,1.281426932,3.400962898,0.139688014,0.044263045,0.107214461,0.108253325,0.523785124,0.033730324
Switzerland,274,1572885.698,1145561.193,2718446.891,385788.946,2332657.945,60.99728041,32.49030376,23.18968835,38.15248992,2.838388359,19.53130667,0.15527098,557.5114922,632.7361332,3.384750111,18.52422591,0.536421773,0.017805986,0.021522876,0.016524593,0.099274432,0.060062188,0.057183194,-0.078897884,-0.665506159,-0.12229895,0.131632654,0.233558233,36.34684262,2.091191232,17.86708383,1.638804464,2.201582986,0.121443594,0.066756207,0.086210869,0.090718864,0.50378389,0.029256686
Taiwan,1820,927241.34,514915.0576,1442156.398,213409.788,1228746.61,50.04190385,42.65299205,15.98387468,2.078304295,1.868610185,25.63430718,0.196368963,138.4379086,91.81174244,2.899254908,24.52295587,1.347487419,0.034234141,0.056613237,0.002779358,0.108948137,0.100914176,0.04828559,0.179210217,-1.929629217,-2.082446873,0.146902577,0.104222162,16.77378242,1.717751133,13.35652416,1.50369264,1.232464434,0.10080813,0.077084288,0.054580833,0.07053378,0.682829951,0.040072633
Tanzania,14,3381.486,496.9268935,3878.412893,162.239,3716.173893,13.41136842,11.69512762,10.27465758,,2.621261191,2.355589851,0.097556427,52.54866839,36.77125195,3.183559605,2.320544824,0.401925721,0.03505682,0.06334,0.11758,,0.0959,0.279522645,0.146638107,0.188043314,0.156326004,0.20112985,0.205971429,11.16643221,3.586097993,12.37928231,3.153742161,2.880397697,0.312374131,0.193364385,0.228305792,0.190183095,0.647426082,0.056395324
Thailand,620,426558.435,184125.3998,610683.8348,33418.761,577265.0738,239.8813731,45.02226088,24.11618253,2.233822101,2.708720811,4.370385894,0.062833068,172.554967,85.33609817,2.311991454,5.615954506,0.660491412,0.027174648,0.042599325,0.046960766,0.146652069,0.120077566,0.097188817,8.232521957,-2.271861888,-0.817686604,0.133780702,0.101089811,22.1778686,2.305533712,14.75718699,1.847547416,1.995820209,0.132399013,0.06196403,0.084691132,0.078680733,0.545267742,0.031312884
Togo,1,812.9,1582.5,2395.4,1372.7,1022.7,12.41068702,,4.25,,0.403664713,0.516487706,0.573056692,,,0.459929843,0.649787153,,0.056341493,,0.0712,,-0.0557,-0.008934708,0,-0.01620591,0,0.5,0.4047,,0.328643622,,0.472356935,0.749945003,-0.008934708,0,-0.01620591,0,,0.056341493
Trinidad & Tobago,18,11867.58,1976.907294,13844.48729,3345.89,10498.59729,14.72254408,18.1600213,8.234042553,,3.376578237,3.945839842,0.177857073,180.7636195,57.14470863,5.777258156,3.695996264,0.484493533,0.029110223,-0.003395455,0.036085333,,,0.175042326,0.382903739,0.33030726,0.187168496,0.203155149,0.22810625,15.09756901,1.812342323,17.61722438,2.170535661,2.769274693,0.107584985,0.094551615,0.185826805,0.129834755,0.608514836,0.0361229
Tunisia,79,8424.52,2297.55,10722.07,236.953,10485.117,118.5190467,15.88601013,19.76837103,,1.909595091,1.747933167,0.022130107,18.07297262,9.821610371,2.519348103,2.894041972,0.554665522,0.033179167,0.076975263,0.080159423,,0.075354634,0.059527615,0.077511382,0.102092522,0.117579971,0.121403471,0.032708077,15.35150107,5.713437006,14.39174059,3.142512003,1.755139732,0.363975829,0.117996192,0.089837712,0.071036751,0.641291183,0.040853604
Turkey,402,173736.249,274714.4839,448450.7329,48164.657,400286.0759,22.60260855,58.62545232,41.72107469,0.930832481,1.643870214,8.164693465,0.121392564,69.64265192,192.1084293,1.586519298,59.98477922,0.441424027,0.025633127,0.115896864,0.067905987,0.100194286,0.140638493,0.01801942,0.037609127,7.996159489,-1.02697938,0.107654424,0.087259167,10.28288725,1.206113411,19.73905452,1.123333472,1.839538036,0.139597979,0.032401409,0.092410158,0.060125883,0.35816769,0.041455045
Turks & Caicos Islands,1,0.115,0.012,0.127,0.031,0.096,0.123126338,0.127071823,,,0.026932084,0.016763848,0.244094488,0.10584344,0.081355932,0.022582922,0.013994169,0.767955801,6.043478261,,,,,0.222906404,0.223069356,0.134272997,0.134569733,0,0.0587,0.123126338,0.028325123,0.079338843,0.023610428,0.014243323,0.222906404,0.213361562,0.134272997,0.134569733,0.767955801,6.043478261
Uganda,6,784.51,358.5139868,1143.023987,346.92,796.1039868,8.117175647,7.537262371,4.857142857,,1.345844706,1.915155599,0.230845015,5.471852869,454.7657954,4.425787152,1.760223377,0.371071547,0.047677345,0.0939,0.064666667,,0.117,0.236358847,0.073762374,0.2491234,0.014838954,0.323675715,0.248283333,7.8046718,2.02193299,10.20724654,2.54541508,1.236455109,0.288190722,0.124015863,0.173668189,0.098454948,0.313375306,0.044666097
Ukraine,14,2093.26,1628.567557,3721.827557,1042.3,2679.527557,33.5910142,9.875577632,1.499126638,,0.632824703,2.437224428,0.538594007,3.121336367,2.482105692,0.803642967,2.955383325,0.019751142,0.002025702,0.02274,0.04643125,,0.011566667,-0.068059837,0.085913553,-3.17232331,-0.146839985,0.060443305,0.14856,19.49685183,0.863805554,3.956785987,0.776117299,0.842420045,0.069723518,0.164868539,0.053119862,0.165840286,0.128047301,0.010335553
United Arab Emirates,96,213568.89,136065.2284,349634.1184,82255.425,267378.6934,19.77483024,15.20118364,18.95604438,2.559753622,1.668122695,4.888927654,0.179575479,178.3446692,106.4537495,2.00267465,5.084739961,0.492207963,0.033809304,0.104556735,0.053876364,0.060188235,0.043257105,0.045249847,0.092759034,0.213282785,0.074437285,0.010507133,0.112733971,12.70333365,1.431588544,16.03720481,1.358027889,3.683448034,0.115240407,0.050382992,0.236838504,0.147994944,0.574505697,0.046246717
United Kingdom,1280,2926906.548,3283427.905,6210334.453,856808.125,5353526.328,37.94637487,39.09770232,23.19799412,4.110096972,4.152033609,55.33837224,0.136162593,82.29937891,74.11848023,15.85500218,53.04769291,0.899240542,0.018953331,0.108125967,0.090027479,0.093481362,0.771026602,-0.215325497,-0.505631663,-5.316133768,-5.235503072,0.103056464,0.561457195,28.09639905,1.727675022,16.6571212,1.342393319,2.454337262,0.039506988,0.048568583,0.030684216,0.082714895,1.490962807,0.034094057
United States,7330,25474727.43,17265972.73,42740700.16,2102289.469,40638410.69,114.1469929,77.3037423,46.10673589,11.58007387,37.00956634,388.3768672,0.129937465,1027.454668,378.680436,32.14071896,398.7867863,0.7042029,0.011231221,0.096457519,0.083621865,0.121528102,0.186319836,-0.690488929,-3.0201E+13,-14.47946741,-11.82766837,0.104353396,0.471279412,30.08243701,3.018630116,18.14237268,1.982116166,2.888101082,0.103790009,0.068275221,0.062248784,0.103224577,0.560906496,0.019285732
Uruguay,1,1137.8,1237.649811,2375.449811,112.2,2263.249811,,18.00316456,14.95844875,,3.367268423,0.372719232,0.04723316,12.87619801,5.62158423,1.546622546,0.741392803,0,0,-0.106,-0.0414,0.162,0.0133,0.20892562,0.057403469,0.021895029,0.060893829,0.496425735,0.4539,-22.0503876,3.761322314,10.64557766,1.467784356,0.784081002,0.20892562,0.120114846,0.021895029,0.060893829,0,0
Venezuela,17,417194.2,6161.5,423355.7,16411.1,406944.6,38.25046888,53.62303067,,,9.942277738,10.39654835,0.018886702,,,12.63094728,9.642491311,0.036128775,8.88248E-05,0.5,0.694,,,0.215007958,-0.000773669,0.252523503,0,0.068513955,0.010106667,63.0536084,8.952569178,,13.89162985,18.61228578,0.10310619,-0.000717129,0.219755492,-0.00224567,0.04155303,0.000478564
Vietm,658,69792.35,28915.52322,98707.87322,21455.998,77251.87522,33.50707509,15.77860957,14.33616746,0.857949034,1.323091705,1.553957997,0.105823098,27.26120971,21.80008928,1.378885154,1.897043644,0.377425265,0.020038824,0.072706695,0.072061084,0.16475,0.151420526,0.190576483,0.160344751,0.07138208,0.071446049,0.103055293,0.11015529,15.218876,2.154148171,13.43117282,2.014753027,1.541261475,0.132070949,0.091217802,0.085370306,0.085390588,0.43102486,0.026426159
Zambia,12,941.77,339.00022,1280.77022,110.423,1170.34722,14.52529191,14.3773827,,,0.629484393,1.703185327,0.079665102,4.956309564,6.948849206,0.64936338,1.864293999,0.357942023,0.053690486,-0.037783333,0.052457143,,0.0887,-0.041309954,1.737882435,-0.632962564,-0.896523478,0.183006609,0.13008875,,0.442083275,,0.544266481,0.622886259,-0.118096512,-0.051284672,-0.133897313,-0.058814442,,0.079365875
Zimbabwe,10,1948.7,199.2899973,2147.989997,260.774,1887.215997,14.27348315,16.08865638,16.8245283,0.536319434,3.942646809,2.061082432,0.123333595,45.639983,40.17149807,4.649599678,2.087961863,0.569150722,0.026361674,-0.121966667,0.0276,0.052,-0.018866667,0.278210945,0.273570971,0.146610832,0.148729267,0.205783588,0.20353625,15.00257909,2.544160846,8.258428133,2.606644739,1.430142465,0.155310399,0.210140739,0.09014853,0.13186602,0.606674512,0.037034946
